dateff,mktrf,smb,hml,rf,umd
19260731,0.0296,-0.023,-0.0287,0.0022,
19260831,0.0264,-0.014,0.0419,0.0025,
19260930,0.0036,-0.0132,0.0001,0.0023,
19261030,-0.0324,0.0004,0.0051,0.0032,
19261130,0.0253,-0.002,-0.0035,0.0031,
19261231,0.0262,-0.0004,-0.0002,0.0028,
19270131,-0.0006,-0.0056,0.0483,0.0025,0.0044
19270228,0.0418,-0.001,0.0317,0.0026,-0.0201
19270331,0.0013,-0.016,-0.0267,0.003,0.0359
19270430,0.0046,0.0043,0.006,0.0025,0.0419
19270531,0.0544,0.0141,0.0493,0.003,0.0301
19270630,-0.0234,0.0047,-0.0153,0.0026,0.0051
19270730,0.0726,-0.0323,-0.0116,0.003,0.0432
19270831,0.0197,-0.0072,-0.0369,0.0028,0.0112
19270930,0.0476,-0.0357,-0.0071,0.0021,0.0193
19271031,-0.0431,0.0213,-0.0433,0.0025,-0.0111
19271130,0.0658,0.0276,-0.0031,0.0021,-0.0068
19271231,0.0209,0.0093,-0.0106,0.0022,0.0319
19280131,-0.0068,0.0425,-0.0072,0.0025,-0.006
19280229,-0.017,-0.0203,-0.0069,0.0033,-0.0102
19280331,0.0881,-0.0026,-0.012,0.0029,0.0487
19280430,0.0423,0.0382,0.0367,0.0022,-0.0565
19280531,0.0152,0.0298,-0.0346,0.0032,0.0285
19280630,-0.0485,-0.035,-0.0006,0.0031,0.0205
19280731,0.0062,-0.0135,-0.0047,0.0032,0.0275
19280831,0.0668,-0.0207,-0.0211,0.0032,0.0362
19280929,0.0288,0.0218,0.0076,0.0027,0.0362
19281031,0.0133,0.0227,-0.0226,0.0041,0.0505
19281130,0.1181,-0.0181,0.028,0.0038,0.0193
19281231,0.0036,-0.0085,-0.006,0.0006,0.0171
19290131,0.0466,-0.0354,-0.0121,0.0034,0.0247
19290228,-0.0034,-0.0039,0.0168,0.0036,0.0309
19290328,-0.0089,-0.0478,0.0156,0.0034,-0.0092
19290430,0.0143,-0.0099,0.0061,0.0036,0.0189
19290531,-0.0639,-0.0546,-0.0157,0.0044,-0.0204
19290629,0.097,-0.0217,-0.0276,0.0052,0.0879
19290731,0.0446,-0.0388,0.0266,0.0033,0.0294
19290830,0.0818,-0.0952,0.0006,0.004,0.0463
19290930,-0.0547,0.0117,-0.0063,0.0035,0.0304
19291031,-0.2012,-0.0408,0.0785,0.0046,0.0409
19291127,-0.1274,-0.0191,0.0533,0.0037,-0.0202
